Course Code,SIS Student ID,Attendance,Class Date
GER  1301 02 in 08B/112,122479,present,2024-02-08
GER  1301 02 in 08B/112,98360,present,2024-02-08
GER  1301 02 in 08B/112,84351,present,2024-02-08
GER  1301 02 in 08B/112,85317,present,2024-02-08
MTH  2320 06 in 04/001,121857,present,2024-02-08
SCM  3301 02 in 04/105,142770,present,2024-02-08
SCM  3301 02 in 04/105,121711,present,2024-02-08
SCM  3301 02 in 04/105,119215,present,2024-02-08
SCM  3301 02 in 04/105,113701,present,2024-02-08
SCM  3301 02 in 04/105,117901,present,2024-02-08
SCM  3301 02 in 04/105,105836,absent,2024-02-08
GER  1301 01 in 08B/112,85528,present,2024-02-08
GER  1301 01 in 08B/112,141355,present,2024-02-08
GER  1301 01 in 08B/112,101035,present,2024-02-08
GER  1301 01 in 08B/112,86377,present,2024-02-08
GER  1301 01 in 08B/112,102128,present,2024-02-08
GER  1301 01 in 08B/112,85228,present,2024-02-08
GER  1301 01 in 08B/112,80572,present,2024-02-08
GER  1301 01 in 08B/112,89565,present,2024-02-08
GER  1301 01 in 08B/112,106852,present,2024-02-08
GER  1301 01 in 08B/112,86072,present,2024-02-08
GER  1301 01 in 08B/112,90622,present,2024-02-08
GER  1301 01 in 08B/112,83072,present,2024-02-08
GER  1301 01 in 08B/112,98086,present,2024-02-08
GER  1301 01 in 08B/112,84969,present,2024-02-08
GER  1301 01 in 08B/112,86582,present,2024-02-08
GER  1301 01 in 08B/112,91044,present,2024-02-08
GER  1301 01 in 08B/112,90361,present,2024-02-08
MTH  2320 06 in 04/001,85274,absent,2024-02-08
MTH  2320 06 in 04/001,137692,present,2024-02-08
MTH  2320 06 in 04/001,83694,absent,2024-02-08
MTH  2320 06 in 04/001,99862,absent,2024-02-08
SCM  3301 02 in 04/105,121884,present,2024-02-08
SCM  3301 02 in 04/105,119603,present,2024-02-08
SCM  3301 02 in 04/105,105001,present,2024-02-08
SCM  3301 02 in 04/105,87058,present,2024-02-08
SCM  3301 02 in 04/105,101533,present,2024-02-08
SCM  3301 02 in 04/105,103372,present,2024-02-08
SCM  3301 02 in 04/105,101753,present,2024-02-08
SCM  3301 02 in 04/105,117670,present,2024-02-08
SCM  3301 02 in 04/105,113856,present,2024-02-08
SCM  3301 02 in 04/105,80829,present,2024-02-08
SCM  3301 02 in 04/105,132987,present,2024-02-08
SCM  3301 02 in 04/105,117299,present,2024-02-08
SCM  3301 02 in 04/105,137550,present,2024-02-08
SCM  3301 02 in 04/105,119000,present,2024-02-08
SCM  3301 02 in 04/105,116356,present,2024-02-08
SCM  3301 02 in 04/105,111510,present,2024-02-08
SCM  3301 02 in 04/105,101128,present,2024-02-08
SCM  3301 02 in 04/105,110571,present,2024-02-08
SCM  3301 02 in 04/105,101207,present,2024-02-08
SCM  3301 02 in 04/105,121452,present,2024-02-08
SCM  3301 02 in 04/105,100013,present,2024-02-08
SCM  3301 02 in 04/105,88530,present,2024-02-08
SCM  3301 02 in 04/105,85805,absent,2024-02-08
SCM  3301 02 in 04/105,141921,present,2024-02-08
SCM  3301 02 in 04/105,114756,absent,2024-02-08
SCM  3301 02 in 04/105,85520,present,2024-02-08
SCM  3301 02 in 04/105,100459,present,2024-02-08
SCM  3301 02 in 04/105,102152,present,2024-02-08
SCM  3301 02 in 04/105,119049,present,2024-02-08
SCM  3301 02 in 04/105,119970,present,2024-02-08
MTH  2320 05 in 09/104,98313,present,2024-02-08
MTH  2320 05 in 09/104,118871,present,2024-02-08
MTH  2320 05 in 09/104,119841,present,2024-02-08
MTH  2304 02 in 04/106,116839,present,2024-02-08
MTH  2304 02 in 04/106,117644,present,2024-02-08
MTH  2304 02 in 04/106,104137,present,2024-02-08
MTH  2304 02 in 04/106,101161,present,2024-02-08
MTH  2304 02 in 04/106,102693,present,2024-02-08
MTH  2304 02 in 04/106,105621,present,2024-02-08
PWG  1001 01 in 08B/004,120469,absent,2024-02-08
PWG  1001 01 in 08B/004,156549,absent,2024-02-08
PWG  1001 01 in 08B/004,155596,present,2024-02-08
PWG  1001 01 in 08B/004,145517,present,2024-02-08
PWG  1001 01 in 08B/004,157051,present,2024-02-08
PWG  1001 01 in 08B/004,157049,present,2024-02-08
